image,label
dataset/images/trashbin_0.jpg, 0
dataset/images/trashbin_1.jpg, 0
dataset/images/trashbin_2.jpg, 0
dataset/images/trashbin_3.jpg, 0
dataset/images/trashbin_4.jpg, 0
dataset/images/trashbin_5.jpg, 0
dataset/images/trashbin_6.jpg, 0
dataset/images/trashbin_7.jpg, 0
dataset/images/trashbin_8.jpg, 0
dataset/images/trashbin_9.jpg, 0
dataset/images/trashbin_10.jpg, 0
dataset/images/trashbin_11.jpg, 0
dataset/images/trashbin_12.jpg, 0
dataset/images/trashbin_13.jpg, 0
dataset/images/trashbin_14.jpg, 0
dataset/images/trashbin_15.jpg, 0
dataset/images/trashbin_16.jpg, 0
dataset/images/trashbin_17.jpg, 0
dataset/images/trashbin_18.jpg, 0
dataset/images/trashbin_19.jpg, 0
dataset/images/trashbin_20.jpg, 0
dataset/images/trashbin_21.jpg, 0
dataset/images/trashbin_22.jpg, 0
dataset/images/trashbin_23.jpg, 0
dataset/images/trashbin_24.jpg, 0
dataset/images/trashbin_25.jpg, 0
dataset/images/trashbin_26.jpg, 0
dataset/images/trashbin_27.jpg, 0
dataset/images/trashbin_28.jpg, 0
dataset/images/trashbin_29.jpg, 0
dataset/images/trashbin_30.jpg, 0
dataset/images/trashbin_31.jpg, 0
dataset/images/trashbin_32.jpg, 0
dataset/images/trashbin_33.jpg, 0
dataset/images/trashbin_34.jpg, 0
dataset/images/trashbin_35.jpg, 0
dataset/images/trashbin_36.jpg, 0
dataset/images/trashbin_37.jpg, 0
dataset/images/trashbin_38.jpg, 0
dataset/images/trashbin_39.jpg, 0
dataset/images/trashbin_40.jpg, 0
dataset/images/trashbin_41.jpg, 0
dataset/images/trashbin_42.jpg, 0
dataset/images/trashbin_43.jpg, 0
dataset/images/trashbin_44.jpg, 0
dataset/images/trashbin_45.jpg, 0
dataset/images/trashbin_46.jpg, 0
dataset/images/trashbin_47.jpg, 0
dataset/images/trashbin_48.jpg, 0
dataset/images/trashbin_49.jpg, 0
dataset/images/trashbin_50.jpg, 0
dataset/images/trashbin_51.jpg, 0
dataset/images/trashbin_52.jpg, 0
dataset/images/trashbin_53.jpg, 0
dataset/images/trashbin_54.jpg, 0
dataset/images/trashbin_55.jpg, 0
dataset/images/trashbin_56.jpg, 0
dataset/images/trashbin_57.jpg, 0
dataset/images/trashbin_58.jpg, 0
dataset/images/trashbin_59.jpg, 0
dataset/images/trashbin_60.jpg, 0
dataset/images/trashbin_61.jpg, 0
dataset/images/trashbin_62.jpg, 0
dataset/images/trashbin_63.jpg, 0
dataset/images/trashbin_64.jpg, 0
dataset/images/trashbin_65.jpg, 0
dataset/images/trashbin_66.jpg, 0
dataset/images/trashbin_67.jpg, 0
dataset/images/trashbin_68.jpg, 0
dataset/images/trashbin_69.jpg, 0
dataset/images/trashbin_70.jpg, 0
dataset/images/trashbin_71.jpg, 0
