,anchor_image,anchor_label,pos_image,pos_label,neg_image,neg_label
0,dataset/images/trashbin_7534.jpg,0.0,dataset/images/trashbin_10897.jpg,0.0,dataset/images/trashbin_676.jpg,1.0
1,dataset/images/trashbin_3486.jpg,2.0,dataset/images/trashbin_8102.jpg,2.0,dataset/images/trashbin_2406.jpg,0.0
2,dataset/images/trashbin_3606.jpg,0.0,dataset/images/trashbin_12207.jpg,0.0,dataset/images/trashbin_1139.jpg,2.0
3,dataset/images/trashbin_2306.jpg,2.0,dataset/images/trashbin_5895.jpg,2.0,dataset/images/trashbin_10129.jpg,1.0
4,dataset/images/trashbin_8930.jpg,1.0,dataset/images/trashbin_4301.jpg,1.0,dataset/images/trashbin_12850.jpg,2.0
5,dataset/images/trashbin_3445.jpg,2.0,dataset/images/trashbin_2295.jpg,2.0,dataset/images/trashbin_792.jpg,1.0
6,dataset/images/trashbin_3380.jpg,2.0,dataset/images/trashbin_1108.jpg,2.0,dataset/images/trashbin_10081.jpg,1.0
7,dataset/images/trashbin_12337.jpg,0.0,dataset/images/trashbin_6371.jpg,0.0,dataset/images/trashbin_608.jpg,1.0
8,dataset/images/trashbin_3930.jpg,0.0,dataset/images/trashbin_3669.jpg,0.0,dataset/images/trashbin_13044.jpg,2.0
9,dataset/images/trashbin_11016.jpg,0.0,dataset/images/trashbin_2405.jpg,0.0,dataset/images/trashbin_10238.jpg,1.0
10,dataset/images/trashbin_3837.jpg,0.0,dataset/images/trashbin_12377.jpg,0.0,dataset/images/trashbin_12780.jpg,1.0
11,dataset/images/trashbin_700.jpg,1.0,dataset/images/trashbin_3153.jpg,1.0,dataset/images/trashbin_9634.jpg,0.0
12,dataset/images/trashbin_9148.jpg,1.0,dataset/images/trashbin_2872.jpg,1.0,dataset/images/trashbin_6890.jpg,2.0
13,dataset/images/trashbin_12177.jpg,0.0,dataset/images/trashbin_1500.jpg,0.0,dataset/images/trashbin_2053.jpg,2.0
14,dataset/images/trashbin_8776.jpg,0.0,dataset/images/trashbin_12282.jpg,0.0,dataset/images/trashbin_473.jpg,1.0
15,dataset/images/trashbin_12176.jpg,0.0,dataset/images/trashbin_9839.jpg,0.0,dataset/images/trashbin_8987.jpg,1.0
16,dataset/images/trashbin_8075.jpg,2.0,dataset/images/trashbin_5857.jpg,2.0,dataset/images/trashbin_7787.jpg,1.0
17,dataset/images/trashbin_8217.jpg,2.0,dataset/images/trashbin_1027.jpg,2.0,dataset/images/trashbin_3180.jpg,1.0
18,dataset/images/trashbin_206.jpg,0.0,dataset/images/trashbin_6062.jpg,0.0,dataset/images/trashbin_6517.jpg,1.0
19,dataset/images/trashbin_3938.jpg,0.0,dataset/images/trashbin_5170.jpg,0.0,dataset/images/trashbin_9400.jpg,2.0
20,dataset/images/trashbin_2120.jpg,2.0,dataset/images/trashbin_3589.jpg,2.0,dataset/images/trashbin_7758.jpg,1.0
21,dataset/images/trashbin_6140.jpg,0.0,dataset/images/trashbin_10915.jpg,0.0,dataset/images/trashbin_7774.jpg,1.0
22,dataset/images/trashbin_2661.jpg,0.0,dataset/images/trashbin_2580.jpg,0.0,dataset/images/trashbin_9572.jpg,2.0
23,dataset/images/trashbin_11997.jpg,2.0,dataset/images/trashbin_9353.jpg,2.0,dataset/images/trashbin_1581.jpg,0.0
24,dataset/images/trashbin_6860.jpg,2.0,dataset/images/trashbin_9454.jpg,2.0,dataset/images/trashbin_8475.jpg,0.0
25,dataset/images/trashbin_8634.jpg,0.0,dataset/images/trashbin_7578.jpg,0.0,dataset/images/trashbin_3465.jpg,2.0
26,dataset/images/trashbin_3438.jpg,2.0,dataset/images/trashbin_7008.jpg,2.0,dataset/images/trashbin_12339.jpg,0.0
27,dataset/images/trashbin_9138.jpg,1.0,dataset/images/trashbin_6470.jpg,1.0,dataset/images/trashbin_12985.jpg,2.0
28,dataset/images/trashbin_9016.jpg,1.0,dataset/images/trashbin_2821.jpg,1.0,dataset/images/trashbin_11161.jpg,0.0
29,dataset/images/trashbin_5570.jpg,1.0,dataset/images/trashbin_12678.jpg,1.0,dataset/images/trashbin_11960.jpg,2.0
30,dataset/images/trashbin_199.jpg,0.0,dataset/images/trashbin_6032.jpg,0.0,dataset/images/trashbin_5805.jpg,2.0
31,dataset/images/trashbin_4315.jpg,1.0,dataset/images/trashbin_8836.jpg,1.0,dataset/images/trashbin_93.jpg,0.0
32,dataset/images/trashbin_12964.jpg,2.0,dataset/images/trashbin_2290.jpg,2.0,dataset/images/trashbin_6547.jpg,1.0
33,dataset/images/trashbin_1007.jpg,2.0,dataset/images/trashbin_10752.jpg,2.0,dataset/images/trashbin_8538.jpg,0.0
34,dataset/images/trashbin_7105.jpg,2.0,dataset/images/trashbin_3596.jpg,2.0,dataset/images/trashbin_2872.jpg,1.0
35,dataset/images/trashbin_7067.jpg,2.0,dataset/images/trashbin_9359.jpg,2.0,dataset/images/trashbin_2530.jpg,0.0
36,dataset/images/trashbin_6679.jpg,1.0,dataset/images/trashbin_8915.jpg,1.0,dataset/images/trashbin_3856.jpg,0.0
37,dataset/images/trashbin_11257.jpg,1.0,dataset/images/trashbin_4392.jpg,1.0,dataset/images/trashbin_108.jpg,0.0
38,dataset/images/trashbin_5321.jpg,1.0,dataset/images/trashbin_7922.jpg,1.0,dataset/images/trashbin_2628.jpg,0.0
39,dataset/images/trashbin_12050.jpg,0.0,dataset/images/trashbin_11047.jpg,0.0,dataset/images/trashbin_8858.jpg,1.0
40,dataset/images/trashbin_10862.jpg,0.0,dataset/images/trashbin_10803.jpg,0.0,dataset/images/trashbin_992.jpg,2.0
41,dataset/images/trashbin_564.jpg,1.0,dataset/images/trashbin_405.jpg,1.0,dataset/images/trashbin_12932.jpg,2.0
42,dataset/images/trashbin_6501.jpg,1.0,dataset/images/trashbin_709.jpg,1.0,dataset/images/trashbin_12907.jpg,2.0
43,dataset/images/trashbin_9183.jpg,1.0,dataset/images/trashbin_3072.jpg,1.0,dataset/images/trashbin_2664.jpg,0.0
44,dataset/images/trashbin_148.jpg,0.0,dataset/images/trashbin_8601.jpg,0.0,dataset/images/trashbin_3493.jpg,2.0
